Timestamp_ms,GPS_Year,GPS_Month,GPS_Day,GPS_Hour,GPS_Min,GPS_Sec,Time_Valid,Accel_X(G),Accel_Y(G),Accel_Z(G),Gyro_X(deg/s),Gyro_Y(deg/s),Gyro_Z(deg/s),Baro_Altitude(m),Latitude,Longitude,GPS_Altitude(m),PDOP,Fix_Type,Satellites
2463,1980,1,6,1,17,13,0,-0.055419921875,0.9833984375,0.35400390625,3.48663330078125,1.71661376953125,-0.52642822265625,559.5886840820312,0.0,0.0,-17.0,99.98999786376953,0,0
2513,1980,1,6,1,17,13,0,-0.053466796875,0.974853515625,0.3583984375,4.0130615234375,1.80816650390625,-0.40435791015625,559.5886840820312,0.0,0.0,-17.0,99.98999786376953,0,0
2563,1980,1,6,1,17,13,0,-0.054443359375,0.98095703125,0.362548828125,3.80706787109375,1.77764892578125,-0.32806396484375,559.5886840820312,0.0,0.0,-17.0,99.98999786376953,0,0
2613,1980,1,6,1,17,13,0,-0.053466796875,0.982177734375,0.35693359375,3.72314453125,1.739501953125,-0.38909912109375,559.5886840820312,0.0,0.0,-17.0,99.98999786376953,0,0
2663,1980,1,6,1,17,13,0,-0.057373046875,0.98046875,0.35693359375,3.265380859375,1.8463134765625,-0.1983642578125,559.5886840820312,0.0,0.0,-17.0,99.98999786376953,0,0
2713,1980,1,6,1,17,13,0,-0.057861328125,0.979248046875,0.35791015625,3.59344482421875,1.89971923828125,-0.1983642578125,560.3021240234375,0.0,0.0,-17.0,99.98999786376953,0,0
2763,1980,1,6,1,17,13,0,-0.0556640625,0.98095703125,0.3564453125,3.6773681640625,1.739501953125,-0.32806396484375,560.3021240234375,0.0,0.0,-17.0,99.98999786376953,0,0
2813,1980,1,6,1,17,13,0,-0.054931640625,0.9794921875,0.35595703125,3.44085693359375,1.77764892578125,-0.19073486328125,560.3021240234375,0.0,0.0,-17.0,99.98999786376953,0,0
2863,1980,1,6,1,17,13,0,-0.0546875,0.978515625,0.359130859375,3.99017333984375,1.77001953125,-0.48828125,560.3021240234375,0.0,0.0,-17.0,99.98999786376953,0,0
2913,1980,1,6,1,17,13,0,-0.055908203125,0.978759765625,0.35302734375,3.80706787109375,1.62506103515625,-0.42724609375,560.3021240234375,0.0,0.0,-17.0,99.98999786376953,0,0
2963,1980,1,6,1,17,13,0,-0.058349609375,0.98388671875,0.355224609375,3.84521484375,1.953125,-0.26702880859375,560.3021240234375,0.0,0.0,-17.0,99.98999786376953,0,0
3013,1980,1,6,1,17,13,0,-0.0556640625,0.9794921875,0.357666015625,3.71551513671875,1.77764892578125,-0.20599365234375,560.3021240234375,0.0,0.0,-17.0,99.98999786376953,0,0
3063,1980,1,6,1,17,13,0,-0.053955078125,0.98388671875,0.35595703125,3.91387939453125,1.739501953125,-0.4425048828125,560.3021240234375,0.0,0.0,-17.0,99.98999786376953,0,0
3113,1980,1,6,1,17,13,0,-0.0556640625,0.979736328125,0.357666015625,3.8299560546875,1.68609619140625,-0.4425048828125,560.3021240234375,0.0,0.0,-17.0,99.98999786376953,0,0
3163,1980,1,6,1,17,13,0,-0.056884765625,0.981201171875,0.35400390625,3.50189208984375,1.8768310546875,-0.11444091796875,560.3021240234375,0.0,0.0,-17.0,99.98999786376953,0,0
3213,1980,1,6,1,17,14,0,-0.057861328125,0.98095703125,0.353271484375,3.60870361328125,2.14385986328125,-0.3204345703125,560.3021240234375,0.0,3.8826747678846675e-31,2.8287096058187527e-34,1.017815577380388e-28,14,0
3177316352,0,123,63,0,64,184,62,3.6773681640625,1.8157958984375,-0.22125244140625,560.3021240234375,0.0,0.0,-17.0,99.98999786376953,5.361788965174065e-31,2.8287096058187527e-34,1.017815577380388e-28,14,0
